name	bin length	GC%	# contigs	# features	revised_tax	Genbank Accession	Biosample Accession	Other Accession	scg	completeness	contamination
Candidatus_Campbellbacteria_bacterium_RIFOXYC2_FULL_35_25	782376	34.93	15	792	Campbellbacteria	MFAE00000000	SAMN04314563	None	43	1.0	0.0
Candidatus_Peregrinibacteria_bacterium_RIFOXYC2_FULL_41_22	1028294	41.17	84	1009	Peregrinibacteria	MFXN00000000	SAMN04314569	None	42	0.9767	0.0
Candidatus_Nomurabacteria_bacterium_RIFOXYC2_FULL_36_19	678089	35.46	31	729	Nomurabacteria	MFWE00000000	SAMN04314577	None	40	0.9302	0.0
Candidatus_Yanofskybacteria_bacterium_RIFOXYC2_FULL_44_13	752252	42.93	13	794	Yanofskybacteria	MGLF00000000	SAMN04314578	None	41	0.9535	0.0
Candidatus_Falkowbacteria_bacterium_RIFOXYC2_FULL_36_12	1088258	35.22	8	1077	Buchananbacteria	MFGJ00000000	SAMN04314599	None	40	0.9302	0.0233
Candidatus_Magasanikbacteria_bacterium_RIFOXYC2_FULL_39_8	932901	38.52	64	925	Magasanikbacteria	MFQX00000000	SAMN04314600	None	38	0.8837	0.0
Candidatus_Uhrbacteria_bacterium_RIFOXYC2_FULL_47_19	1036605	47.12	34	965	Uhrbacteria	MGFG00000000	SAMN04314601	None	42	0.9767	0.0
Candidatus_Yonathbacteria_bacterium_RIFOXYC2_FULL_47_9	827676	45.83	40	898	Yonathbacteria	MHUY00000000	SAMN04314602	None	41	0.9535	0.0
Candidatus_Falkowbacteria_bacterium_RIFOXYC2_FULL_48_21	1020795	47.59	86	1108	Buchananbacteria	MFGM00000000	SAMN04314603	None	33	0.7674	0.0
Candidatus_Magasanikbacteria_bacterium_RIFOXYC12_FULL_33_11	782447	33.22	61	747	Magasanikbacteria	MFQW00000000	SAMN04314614	None	34	0.7907	0.0
Candidatus_Lloydbacteria_bacterium_RIFOXYC12_FULL_46_25	755293	45.61	183	889	Lloydbacteria	MHLU00000000	SAMN04314615	None	39	0.907	0.0
Candidatus_Falkowbacteria_bacterium_RIFOXYC12_FULL_34_55	1530912	33.99	39	1461	Falkowbacteria	MFGH00000000	SAMN04314621	None	41	0.9535	0.0
Candidatus_Magasanikbacteria_bacterium_RIFOXYD12_FULL_33_17	1022340	32.39	134	1036	Magasanikbacteria	MFRB00000000	SAMN04314628	None	40	0.9302	0.0
Candidatus_Wolfebacteria_bacterium_RIFOXYD12_FULL_48_21	878700	48.23	6	925	Wolfebacteria	MGIW00000000	SAMN04314645	None	42	0.9767	0.0233
Candidatus_Magasanikbacteria_bacterium_RIFOXYD2_FULL_36_9	708199	34.8	66	692	Magasanikbacteria	MFRC00000000	SAMN04314658	None	35	0.814	0.0
Candidatus_Magasanikbacteria_bacterium_RIFOXYD2_FULL_41_14	1095127	40.58	28	1009	Magasanikbacteria	MFRE00000000	SAMN04314659	None	42	0.9767	0.0233
Candidatus_Taylorbacteria_bacterium_RIFOXYD2_FULL_36_9	533453	35.71	41	547	Taylorbacteria	MHSQ00000000	SAMN04314662	None	34	0.7907	0.0
Parcubacteria_group_bacterium_RIFOXYD2_FULL_52_8	721447	52.17	65	860	Vogelbacteria	MHXK00000000	SAMN04314663	None	35	0.814	0.0233
Candidatus_Zambryskibacteria_bacterium_RIFOXYD2_FULL_43_10	467686	42.01	39	542	Zambryskibacteria	MHWZ00000000	SAMN04314697	None	34	0.7907	0.0
candidate_division_WWE3_bacterium_RIFOXYD2_FULL_43_10	783117	42.33	32	832	WWE3	MEWK00000000	SAMN04314700	None	37	0.8605	0.0
Candidatus_Falkowbacteria_bacterium_RIFOXYD2_FULL_39_16	909786	38.38	20	869	Falkowbacteria	MFGQ00000000	SAMN04314708	None	43	1.0	0.0
Candidatus_Vogelbacteria_bacterium_RIFOXYD2_FULL_44_9	550022	43.06	50	599	Vogelbacteria	MHTM00000000	SAMN04314709	None	36	0.8372	0.0
Candidatus_Staskawiczbacteria_bacterium_RIFOXYD1_FULL_32_13	1028434	31.72	44	1065	Staskawiczbacteria	MHPU00000000	SAMN04314714	None	40	0.9302	0.0
Candidatus_Magasanikbacteria_bacterium_RIFOXYD1_FULL_40_23	1074339	39.59	8	1021	Magasanikbacteria	MFRA00000000	SAMN04314716	None	42	0.9767	0.0
Candidatus_Nomurabacteria_bacterium_RIFOXYD1_FULL_36_19	719911	35.96	34	762	Nomurabacteria	MFWH00000000	SAMN04314718	None	42	0.9767	0.0
Candidatus_Zambryskibacteria_bacterium_RIFOXYD1_FULL_40_13	728731	39.71	10	747	Zambryskibacteria	MHWY00000000	SAMN04314719	None	39	0.907	0.0
Candidatus_Azambacteria_bacterium_RIFOXYD1_FULL_42_11	546161	40.77	37	627	Azambacteria	MEZA00000000	SAMN04314720	None	37	0.8605	0.0233
Candidatus_Vogelbacteria_bacterium_RIFOXYD1_FULL_51_18	633812	51.69	20	704	Vogelbacteria	MHTL00000000	SAMN04314722	None	39	0.907	0.0
Candidatus_Brennerbacteria_bacterium_RIFOXYD1_FULL_41_16	655033	40.85	13	724	Brennerbacteria	MHHY00000000	SAMN04314723	None	43	1.0	0.0
Candidatus_Vogelbacteria_bacterium_RIFOXYD1_FULL_44_32	705274	43.94	5	714	Vogelbacteria	MHTJ00000000	SAMN04314724	None	42	0.9767	0.0
Candidatus_Collierbacteria_bacterium_RIFOXYD1_FULL_40_9	810160	39.71	46	979	Collierbacteria	MFAQ00000000	SAMN04314725	None	31	0.7209	0.0233
Candidatus_Woesebacteria_bacterium_RIFOXYD1_FULL_43_18	606270	43.75	22	690	Woesebacteria	MGIL00000000	SAMN04314726	None	35	0.814	0.0
Candidatus_Roizmanbacteria_bacterium_RIFOXYD1_FULL_41_24	850038	40.67	18	885	Roizmanbacteria	MGBS00000000	SAMN04314728	None	40	0.9302	0.0
Candidatus_Pacebacteria_bacterium_RIFOXYD1_FULL_39_27	787698	38.77	10	786	Pacebacteria	MFWZ00000000	SAMN04314735	None	40	0.9302	0.0
Candidatus_Vogelbacteria_bacterium_RIFOXYD1_FULL_46_19	707755	45.2	8	731	Vogelbacteria	MHTK00000000	SAMN04314742	None	42	0.9767	0.0
Candidatus_Kaiserbacteria_bacterium_RIFOXYD1_FULL_42_15	757479	41.74	43	767	Kaiserbacteria	MFMT00000000	SAMN04314745	None	33	0.7674	0.0
Candidatus_Liptonbacteria_bacterium_RIFOXYD1_FULL_36_11	598867	35.95	30	604	Liptonbacteria	MHLG00000000	SAMN04314757	None	42	0.9767	0.0
Candidatus_Zambryskibacteria_bacterium_RIFOXYD1_FULL_39_35	733524	38.49	19	806	Zambryskibacteria	MHWX00000000	SAMN04314758	None	41	0.9535	0.0
Candidatus_Kaiserbacteria_bacterium_RIFOXYD1_FULL_47_14	628310	46.85	23	690	Kaiserbacteria	MFMU00000000	SAMN04314762	None	37	0.8605	0.0
Candidatus_Komeilibacteria_bacterium_RIFOXYD1_FULL_37_29	899340	36.68	5	872	Komeilibacteria	MHKS00000000	SAMN04314764	None	43	1.0	0.0
Candidatus_Giovannonibacteria_bacterium_RIFOXYD1_FULL_48_21	714428	48.0	5	792	Giovannonibacteria	MFIU00000000	SAMN04314766	None	41	0.9535	0.0
Candidatus_Woesebacteria_bacterium_RIFOXYD1_FULL_40_21	456261	40.88	41	532	Woesebacteria	MGIJ00000000	SAMN04314767	None	35	0.814	0.0
Candidatus_Daviesbacteria_bacterium_RIFOXYD1_FULL_41_10	828232	40.68	41	968	Daviesbacteria	MFEC00000000	SAMN04314770	None	33	0.7674	0.0
Candidatus_Collierbacteria_bacterium_RIFOXYD1_FULL_46_26	671113	46.69	43	718	Collierbacteria	MFAR00000000	SAMN04314771	None	36	0.8372	0.0
candidate_division_WWE3_bacterium_RIFOXYD1_FULL_39_9	1088884	38.86	50	1227	WWE3	MEWG00000000	SAMN04314772	None	39	0.907	0.0
Candidatus_Nealsonbacteria_bacterium_RIFCSPHIGHO2_01_FULL_38_55	667615	38.35	43	686	Nealsonbacteria	MHLZ00000000	SAMN04314779	None	39	0.907	0.0
Candidatus_Levybacteria_bacterium_RIFCSPHIGHO2_01_FULL_41_15	728446	38.03	10	784	Levybacteria	MFNV00000000	SAMN04314782	None	41	0.9535	0.0
Candidatus_Woesebacteria_bacterium_RIFCSPHIGHO2_01_FULL_44_10	809763	43.49	33	1005	Woesebacteria	MGGO00000000	SAMN04314783	None	38	0.8837	0.0
Candidatus_Peribacteria_bacterium_RIFCSPHIGHO2_01_FULL_51_9	1066107	50.46	86	1155	PER-ii	MFXQ00000000	SAMN04314788	None	35	0.814	0.0
Candidatus_Nomurabacteria_bacterium_RIFCSPHIGHO2_01_FULL_37_25	726250	36.08	17	761	Nomurabacteria	MFTH00000000	SAMN04314794	None	41	0.9535	0.0
Candidatus_Nomurabacteria_bacterium_RIFCSPHIGHO2_01_FULL_39_10	869879	39.42	65	1051	Nomurabacteria	MFTJ00000000	SAMN04314795	None	38	0.8837	0.0
Candidatus_Lloydbacteria_bacterium_RIFCSPHIGHO2_01_FULL_41_20	531881	40.82	15	578	Lloydbacteria	MHLH00000000	SAMN04314801	None	35	0.814	0.0
Candidatus_Yanofskybacteria_bacterium_RIFCSPHIGHO2_01_FULL_44_24	970849	44.14	20	1010	Yanofskybacteria	MGJK00000000	SAMN04314812	None	41	0.9535	0.0
Candidatus_Doudnabacteria_bacterium_RIFCSPHIGHO2_01_FULL_45_18	555565	44.49	31	635	Doudnabacteria	MFEJ00000000	SAMN04314813	None	34	0.7907	0.0
Candidatus_Giovannonibacteria_bacterium_RIFCSPHIGHO2_01_FULL_45_24	531142	46.75	14	605	Giovannonibacteria	MFHE00000000	SAMN04314814	None	36	0.8372	0.0
Candidatus_Giovannonibacteria_bacterium_RIFCSPHIGHO2_01_FULL_45_33	814835	44.33	38	945	Giovannonibacteria	MFHF00000000	SAMN04314815	None	40	0.9302	0.0
Candidatus_Taylorbacteria_bacterium_RIFCSPHIGHO2_01_FULL_46_22b	921489	45.45	13	955	Taylorbacteria	MHRF00000000	SAMN04314817	None	41	0.9535	0.0
Parcubacteria_group_bacterium_RIFCSPHIGHO2_01_FULL_47_10b	1012319	47.04	66	1119	Parcubacteria	MHXC00000000	SAMN04314819	None	40	0.9302	0.0
Candidatus_Wildermuthbacteria_bacterium_RIFCSPHIGHO2_01_FULL_47_27	648542	47.43	41	678	Wildermuthbacteria	MHTQ00000000	SAMN04314820	None	38	0.8837	0.0
Candidatus_Yanofskybacteria_bacterium_RIFCSPHIGHO2_01_FULL_48_25b	562616	47.88	18	614	Yanofskybacteria	MGJM00000000	SAMN04314822	None	39	0.907	0.0
Candidatus_Kaiserbacteria_bacterium_RIFCSPHIGHO2_01_FULL_49_13	447189	48.85	36	533	Kaiserbacteria	MFKQ00000000	SAMN04314824	None	33	0.7674	0.0
Candidatus_Wildermuthbacteria_bacterium_RIFCSPHIGHO2_01_FULL_49_22b	584419	49.62	33	660	Wildermuthbacteria	MHTT00000000	SAMN04314825	None	38	0.8837	0.0
Candidatus_Yonathbacteria_bacterium_RIFCSPHIGHO2_01_FULL_51_10	759654	50.94	45	856	Yonathbacteria	MHUS00000000	SAMN04314828	None	41	0.9535	0.0
Candidatus_Kaiserbacteria_bacterium_RIFCSPHIGHO2_01_FULL_53_31	667081	52.5	16	731	Kaiserbacteria	MFKU00000000	SAMN04314831	None	39	0.907	0.0
Candidatus_Woesebacteria_bacterium_RIFCSPHIGHO2_01_FULL_37_10	588161	37.06	63	648	Woesebacteria	MGGB00000000	SAMN04314838	None	32	0.7442	0.0
Candidatus_Levybacteria_bacterium_RIFCSPHIGHO2_01_FULL_38_26	1134707	38.0	38	1215	Levybacteria	MFNO00000000	SAMN04314840	None	40	0.9302	0.0
Candidatus_Daviesbacteria_bacterium_RIFCSPHIGHO2_01_FULL_38_8	822791	37.28	75	956	Daviesbacteria	MFCN00000000	SAMN04314841	None	33	0.7674	0.0233
Candidatus_Roizmanbacteria_bacterium_RIFCSPHIGHO2_01_FULL_39_12b	935885	38.52	39	1021	Roizmanbacteria	MFZF00000000	SAMN04314843	None	38	0.8837	0.0
Candidatus_Curtissbacteria_bacterium_RIFCSPHIGHO2_01_FULL_40_12	889109	39.83	67	1002	Curtissbacteria	MFAY00000000	SAMN04314846	None	37	0.8605	0.0
Candidatus_Gottesmanbacteria_bacterium_RIFCSPHIGHO2_01_FULL_43_15	1315532	42.48	62	1382	Gottesmanbacteria	MFJI00000000	SAMN04314852	None	39	0.907	0.0
Candidatus_Collierbacteria_bacterium_RIFCSPHIGHO2_01_FULL_50_25	729379	49.62	41	834	Collierbacteria	MFAG00000000	SAMN04314856	None	37	0.8605	0.0
Candidatus_Peribacteria_bacterium_RIFCSPHIGHO2_01_FULL_51_35	1196444	51.56	18	1233	PER-ii	MFXP00000000	SAMN04314859	None	41	0.9535	0.0
Candidatus_Saccharibacteria_bacterium_RIFCSPHIGHO2_01_FULL_45_15	1220755	45.38	6	1270	Saccharibacteria	MGCK00000000	SAMN04314860	None	42	0.9767	0.0
candidate_division_WWE3_bacterium_RIFCSPHIGHO2_01_FULL_43_9	621078	43.73	50	688	WWE3	MEVB00000000	SAMN04314862	None	34	0.7907	0.0
candidate_division_WWE3_bacterium_RIFCSPHIGHO2_01_FULL_40_23	1009847	40.47	8	1033	WWE3	MEUZ00000000	SAMN04314869	None	41	0.9535	0.0
Candidatus_Doudnabacteria_bacterium_RIFCSPHIGHO2_01_FULL_41_86	848702	41.97	7	954	Doudnabacteria	MFEH00000000	SAMN04314870	None	40	0.9302	0.0
Candidatus_Doudnabacteria_bacterium_RIFCSPHIGHO2_01_FULL_46_24	847051	48.31	18	924	Doudnabacteria	MFEL00000000	SAMN04314873	None	39	0.907	0.0
Candidatus_Gottesmanbacteria_bacterium_RIFCSPHIGHO2_01_FULL_47_48	644135	47.74	18	705	Gottesmanbacteria	MFJK00000000	SAMN04314874	None	35	0.814	0.0
Candidatus_Doudnabacteria_bacterium_RIFCSPHIGHO2_01_FULL_50_11	880494	50.03	37	949	Doudnabacteria	MFEO00000000	SAMN04314875	None	40	0.9302	0.0
Candidatus_Staskawiczbacteria_bacterium_RIFCSPHIGHO2_01_FULL_39_25	743289	39.3	12	785	Staskawiczbacteria	MHOO00000000	SAMN04314883	None	41	0.9535	0.0
Candidatus_Yanofskybacteria_bacterium_RIFCSPHIGHO2_01_FULL_41_21	704475	41.33	15	724	Yanofskybacteria	MGJA00000000	SAMN04314888	None	41	0.9535	0.0
Candidatus_Yanofskybacteria_bacterium_RIFCSPHIGHO2_01_FULL_41_27	584846	41.5	44	630	Yanofskybacteria	MGJC00000000	SAMN04314889	None	37	0.8605	0.0
Candidatus_Nomurabacteria_bacterium_RIFCSPHIGHO2_01_FULL_41_71	634259	41.23	22	654	Nomurabacteria	MFTQ00000000	SAMN04314890	None	39	0.907	0.0
Candidatus_Buchananbacteria_bacterium_RIFCSPHIGHO2_01_FULL_44_11	943148	44.1	30	923	Buchananbacteria	MHIE00000000	SAMN04314897	None	40	0.9302	0.0
Candidatus_Yanofskybacteria_bacterium_RIFCSPHIGHO2_01_FULL_44_22	444406	44.25	31	461	Yanofskybacteria	MGJJ00000000	SAMN04314899	None	35	0.814	0.0
Candidatus_Yonathbacteria_bacterium_RIFCSPHIGHO2_01_FULL_44_41	776001	44.24	18	789	Yonathbacteria	MHUR00000000	SAMN04314900	None	42	0.9767	0.0
Parcubacteria_group_bacterium_RIFCSPHIGHO2_01_FULL_45_26	575582	45.54	39	652	Vogelbacteria	MHXB00000000	SAMN04314902	None	35	0.814	0.0233
Candidatus_Doudnabacteria_bacterium_RIFCSPHIGHO2_01_FULL_46_14	1075229	47.04	17	1180	Doudnabacteria	MFEK00000000	SAMN04314904	None	41	0.9535	0.0
Candidatus_Zambryskibacteria_bacterium_RIFCSPHIGHO2_01_FULL_49_18	582828	48.63	15	652	Zambryskibacteria	MHVJ00000000	SAMN04314911	None	36	0.8372	0.0233
Candidatus_Kaiserbacteria_bacterium_RIFCSPHIGHO2_01_FULL_54_36	869063	53.81	31	985	Kaiserbacteria	MFKV00000000	SAMN04314916	None	40	0.9302	0.0233
Candidatus_Kaiserbacteria_bacterium_RIFCSPHIGHO2_01_FULL_56_24	1251055	56.27	49	1326	Kaiserbacteria	MFLA00000000	SAMN04314918	None	41	0.9535	0.0
Candidatus_Gottesmanbacteria_bacterium_RIFCSPHIGHO2_01_FULL_39_10	1301615	38.6	68	1465	Gottesmanbacteria	MFJE00000000	SAMN04314926	None	39	0.907	0.0
Candidatus_Roizmanbacteria_bacterium_RIFCSPHIGHO2_01_FULL_39_12c	1164554	38.97	43	1205	Roizmanbacteria	MFZG00000000	SAMN04314927	None	40	0.9302	0.0
Candidatus_Levybacteria_bacterium_RIFCSPHIGHO2_01_FULL_40_10	616503	39.44	58	665	Levybacteria	MFNQ00000000	SAMN04314929	None	34	0.7907	0.0
Candidatus_Daviesbacteria_bacterium_RIFCSPHIGHO2_01_FULL_41_45	685375	40.3	34	764	Daviesbacteria	MFCS00000000	SAMN04314933	None	40	0.9302	0.0
Candidatus_Blackburnbacteria_bacterium_RIFCSPHIGHO2_01_FULL_43_15b	904792	42.95	35	951	Blackburnbacteria	MHBW00000000	SAMN04314935	None	38	0.8837	0.0
Microgenomates_group_bacterium_RIFCSPHIGHO2_01_FULL_45_11	1083413	45.53	38	1155	Microgenomates	MHDE00000000	SAMN04314936	None	39	0.907	0.0
Candidatus_Chisholmbacteria_bacterium_RIFCSPHIGHO2_01_FULL_48_12	901768	47.71	65	1043	Chisholmbacteria	MHCH00000000	SAMN04314937	None	32	0.7442	0.0
Candidatus_Abawacabacteria_bacterium_RIFCSPHIGHO2_01_FULL_46_8	509920	45.63	52	529	Abawacabacteria	MEWS00000000	SAMN04314941	None	31	0.7209	0.0
Candidatus_Saccharibacteria_bacterium_RIFCSPHIGHO2_01_FULL_46_30	1107611	45.83	3	1168	Saccharibacteria	MGCL00000000	SAMN04314944	None	42	0.9767	0.0
candidate_division_WWE3_bacterium_RIFCSPHIGHO2_01_FULL_48_15	491139	47.99	25	547	WWE3	MEVC00000000	SAMN04314950	None	37	0.8605	0.0
Candidatus_Levybacteria_bacterium_RIFCSPHIGHO2_01_FULL_37_17	726490	36.79	4	783	Levybacteria	MFNL00000000	SAMN04314951	None	40	0.9302	0.0
Candidatus_Levybacteria_bacterium_RIFCSPHIGHO2_01_FULL_40_16	897674	38.34	7	968	Levybacteria	MFNS00000000	SAMN04314953	None	39	0.907	0.0
Candidatus_Woesebacteria_bacterium_RIFCSPHIGHO2_01_FULL_41_10	772714	41.37	35	903	Woesebacteria	MGGM00000000	SAMN04314954	None	36	0.8372	0.0
Candidatus_Pacebacteria_bacterium_RIFCSPHIGHO2_01_FULL_46_10	610744	45.35	40	718	Pacebacteria	MFWQ00000000	SAMN04314957	None	37	0.8605	0.0233
Candidatus_Andersenbacteria_bacterium_RIFCSPHIGHO2_01_FULL_46_36	778473	45.56	13	826	Andersenbacteria	MHHO00000000	SAMN04314958	None	41	0.9535	0.0
Candidatus_Terrybacteria_bacterium_RIFCSPHIGHO2_01_FULL_48_17	865335	48.0	16	905	Terrybacteria	MHSS00000000	SAMN04314959	None	40	0.9302	0.0
Candidatus_Moranbacteria_bacterium_RIFCSPHIGHO2_01_FULL_55_24	789426	54.33	11	784	Moranbacteria	MFRW00000000	SAMN04314961	None	41	0.9535	0.0
Candidatus_Staskawiczbacteria_bacterium_RIFCSPHIGHO2_01_FULL_36_16	619117	36.15	55	702	Staskawiczbacteria	MHOM00000000	SAMN04314965	None	36	0.8372	0.0233
Candidatus_Nomurabacteria_bacterium_RIFCSPHIGHO2_01_FULL_38_19	621168	38.55	32	716	Nomurabacteria	MFTI00000000	SAMN04314967	None	33	0.7674	0.0233
Candidatus_Yanofskybacteria_bacterium_RIFCSPHIGHO2_01_FULL_39_8b	707814	38.72	64	771	Yanofskybacteria	MGIZ00000000	SAMN04314970	None	31	0.7209	0.0
Candidatus_Nomurabacteria_bacterium_RIFCSPHIGHO2_01_FULL_40_12	511728	40.14	29	535	Nomurabacteria	MFTN00000000	SAMN04314971	None	35	0.814	0.0
Candidatus_Azambacteria_bacterium_RIFCSPHIGHO2_01_FULL_40_24	580550	39.13	39	636	Azambacteria	MEYK00000000	SAMN04314972	None	40	0.9302	0.0698
Candidatus_Magasanikbacteria_bacterium_RIFCSPHIGHO2_01_FULL_41_23	992300	40.76	24	927	Magasanikbacteria	MFPT00000000	SAMN04314974	None	41	0.9535	0.0
Candidatus_Nomurabacteria_bacterium_RIFCSPHIGHO2_01_FULL_42_16	707353	41.98	36	757	Nomurabacteria	MFTT00000000	SAMN04314977	None	40	0.9302	0.0
Candidatus_Doudnabacteria_bacterium_RIFCSPHIGHO2_01_FULL_43_23	590359	43.21	44	653	Doudnabacteria	MFEI00000000	SAMN04314979	None	34	0.7907	0.0
Candidatus_Yanofskybacteria_bacterium_RIFCSPHIGHO2_01_FULL_44_17	674209	43.63	31	717	Yanofskybacteria	MGJI00000000	SAMN04314984	None	39	0.907	0.0
Candidatus_Zambryskibacteria_bacterium_RIFCSPHIGHO2_01_FULL_44_22b	411872	43.99	26	502	Zambryskibacteria	MHVG00000000	SAMN04314985	None	33	0.7674	0.0
Candidatus_Kaiserbacteria_bacterium_RIFCSPHIGHO2_01_FULL_46_22	646917	45.91	8	690	Kaiserbacteria	MFKO00000000	SAMN04314990	None	41	0.9535	0.0233
Candidatus_Buchananbacteria_bacterium_RIFCSPHIGHO2_01_FULL_47_11b	569135	47.32	35	596	Buchananbacteria	MHIG00000000	SAMN04314993	None	33	0.7674	0.0
Candidatus_Kaiserbacteria_bacterium_RIFCSPHIGHO2_01_FULL_48_10	725964	47.09	62	861	Kaiserbacteria	MFKP00000000	SAMN04314994	None	32	0.7442	0.0233
Candidatus_Sungbacteria_bacterium_RIFCSPHIGHO2_01_FULL_50_25	570380	50.46	45	630	Sungbacteria	MHQD00000000	SAMN04315000	None	38	0.8837	0.0
Candidatus_Magasanikbacteria_bacterium_RIFCSPHIGHO2_01_FULL_50_8	660717	49.86	59	711	Magasanikbacteria	MFPV00000000	SAMN04315001	None	38	0.8837	0.0
Candidatus_Taylorbacteria_bacterium_RIFCSPHIGHO2_01_FULL_51_15	849092	50.77	36	861	Taylorbacteria	MHRI00000000	SAMN04315002	None	38	0.8837	0.0
Candidatus_Kaiserbacteria_bacterium_RIFCSPHIGHO2_01_FULL_53_29	1111165	53.47	29	1185	Kaiserbacteria	MFKT00000000	SAMN04315004	None	41	0.9535	0.0
Candidatus_Adlerbacteria_bacterium_RIFCSPHIGHO2_01_FULL_54_23	517848	53.91	22	572	Adlerbacteria	MEWT00000000	SAMN04315005	None	40	0.9302	0.0
Candidatus_Kaiserbacteria_bacterium_RIFCSPHIGHO2_01_FULL_55_17	750484	55.02	29	845	Kaiserbacteria	MFKX00000000	SAMN04315006	None	40	0.9302	0.0233
Parcubacteria_group_bacterium_RIFCSPHIGHO2_01_FULL_56_18	977414	55.61	49	1080	Kaiserbacteria	MHXD00000000	SAMN04315007	None	37	0.8605	0.0233
Candidatus_Liptonbacteria_bacterium_RIFCSPHIGHO2_01_FULL_57_28	553409	58.53	33	603	Liptonbacteria	MHKX00000000	SAMN04315008	None	34	0.7907	0.0233
Candidatus_Uhrbacteria_bacterium_RIFCSPHIGHO2_01_FULL_63_20	862982	63.83	8	851	Uhrbacteria	MGDT00000000	SAMN04315009	None	42	0.9767	0.0
Candidatus_Levybacteria_bacterium_RIFCSPHIGHO2_01_FULL_36_15	1371446	35.35	60	1428	Levybacteria	MFNJ00000000	SAMN04315010	None	35	0.814	0.0
Candidatus_Levybacteria_bacterium_RIFCSPHIGHO2_01_FULL_37_33	849851	37.19	52	1005	Levybacteria	MFNM00000000	SAMN04315013	None	39	0.907	0.0
Candidatus_Woesebacteria_bacterium_RIFCSPHIGHO2_01_FULL_38_9b	842582	37.69	75	936	Woesebacteria	MGGF00000000	SAMN04315016	None	34	0.7907	0.0
Candidatus_Roizmanbacteria_bacterium_RIFCSPHIGHO2_01_FULL_39_8	1235503	38.58	84	1355	Roizmanbacteria	MFZI00000000	SAMN04315019	None	38	0.8837	0.0233
Candidatus_Daviesbacteria_bacterium_RIFCSPHIGHO2_01_FULL_40_11	964213	40.09	42	1080	Daviesbacteria	MFCP00000000	SAMN04315020	None	37	0.8605	0.0
Candidatus_Curtissbacteria_bacterium_RIFCSPHIGHO2_01_FULL_41_11	830860	41.15	46	949	Curtissbacteria	MFAZ00000000	SAMN04315023	None	42	0.9767	0.0
Candidatus_Gottesmanbacteria_bacterium_RIFCSPHIGHO2_01_FULL_42_12	780341	41.97	33	933	Gottesmanbacteria	MFJG00000000	SAMN04315025	None	37	0.8605	0.0233
Candidatus_Gottesmanbacteria_bacterium_RIFCSPHIGHO2_01_FULL_46_14	942875	45.76	63	1142	Gottesmanbacteria	MFJJ00000000	SAMN04315028	None	37	0.8605	0.0233
Candidatus_Moranbacteria_bacterium_RIFCSPHIGHO2_01_FULL_54_31	724422	53.69	36	720	Moranbacteria	MFRV00000000	SAMN04315031	None	38	0.8837	0.0
Candidatus_Peribacteria_bacterium_RIFCSPHIGHO2_01_FULL_55_13	1166479	54.63	43	1177	PER-ii	MFXS00000000	SAMN04315034	None	41	0.9535	0.0
candidate_division_WWE3_bacterium_RIFCSPHIGHO2_01_FULL_42_13	641607	41.88	17	707	WWE3	MEVA00000000	SAMN04315039	None	36	0.8372	0.0
candidate_division_WWE3_bacterium_RIFCSPLOWO2_01_FULL_53_14	532308	52.66	40	625	WWE3	MEVL00000000	SAMN04315043	None	38	0.8837	0.0
Candidatus_Woesebacteria_bacterium_RIFCSPLOWO2_01_FULL_39_10b	1096506	37.87	26	1147	Woesebacteria	MGHD00000000	SAMN04315045	None	39	0.907	0.0
Candidatus_Woesebacteria_bacterium_RIFCSPLOWO2_01_FULL_39_25	1251834	37.65	16	1333	Woesebacteria	MGHH00000000	SAMN04315046	None	39	0.907	0.0
Candidatus_Nealsonbacteria_bacterium_RIFCSPLOWO2_01_FULL_43_32	552629	43.24	23	614	Nealsonbacteria	MHMH00000000	SAMN04315049	None	35	0.814	0.0
Candidatus_Woesebacteria_bacterium_RIFCSPLOWO2_01_FULL_44_24b	898253	43.87	23	1075	Woesebacteria	MGHM00000000	SAMN04315050	None	39	0.907	0.0
Candidatus_Kerfeldbacteria_bacterium_RIFCSPLOWO2_01_FULL_48_11	1204695	48.18	20	1203	Kerfeldbacteria	MHKE00000000	SAMN04315051	None	41	0.9535	0.0
Candidatus_Amesbacteria_bacterium_RIFCSPLOWO2_01_FULL_49_25	958218	47.8	30	1057	Amesbacteria	MEXP00000000	SAMN04315052	None	36	0.8372	0.0
Candidatus_Chisholmbacteria_bacterium_RIFCSPLOWO2_01_FULL_50_28	1214076	49.81	3	1206	Chisholmbacteria	MHCM00000000	SAMN04315053	None	40	0.9302	0.0
Candidatus_Staskawiczbacteria_bacterium_RIFCSPLOWO2_01_FULL_33_9	405718	33.16	38	483	Staskawiczbacteria	MHOX00000000	SAMN04315057	None	33	0.7674	0.0
Candidatus_Nomurabacteria_bacterium_RIFCSPLOWO2_01_FULL_37_25	588342	36.5	21	658	Nomurabacteria	MFUS00000000	SAMN04315059	None	41	0.9535	0.0
Candidatus_Azambacteria_bacterium_RIFCSPLOWO2_01_FULL_37_9	502302	36.54	53	531	Azambacteria	MEYQ00000000	SAMN04315060	None	39	0.907	0.0
Candidatus_Staskawiczbacteria_bacterium_RIFCSPLOWO2_01_FULL_38_12b	836506	37.95	33	917	Staskawiczbacteria	MHPA00000000	SAMN04315061	None	38	0.8837	0.0
